	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV651	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Inocybaceae	Inocybe	Inocybe fuscidula
ASV652	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Preussia	Preussia fleischhakii
ASV653	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pezizaceae	Iodophanus	NA
ASV654	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	NA	NA
ASV655	Fungi	Ascomycota	Lecanoromycetes	Trapeliales	NA	NA	NA
ASV656	Fungi	Ascomycota	Lecanoromycetes	Umbilicariales	NA	NA	NA
ASV657	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	NA	NA	NA
ASV658	Fungi	Ascomycota	Pezizomycetes	Pezizales	NA	NA	NA
ASV659	Fungi	Basidiobolomycota	Basidiobolomycetes	Basidiobolales	Basidiobolaceae	Basidiobolus	Basidiobolus ranarum
ASV660	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Cystofilobasidiaceae	Cystofilobasidium	NA
ASV661	Fungi	Ascomycota	Lecanoromycetes	Acarosporales	Acarosporaceae	NA	NA
ASV662	Fungi	Ascomycota	Dothideomycetes	Capnodiales	NA	NA	NA
ASV663	Fungi	NA	NA	NA	NA	NA	NA
ASV664	Viridiplantae	Chlorophyta	NA	NA	NA	NA	NA
ASV665	Fungi	Calcarisporiellomycota	Calcarisporiellomycetes	Calcarisporiellales	Calcarisporiellaceae	Calcarisporiella	NA
ASV666	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita exitialis
ASV667	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Curvularia	Curvularia pallescens
ASV668	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Coniosporium	Coniosporium apollinis
ASV669	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	NA	NA
ASV670	Protista	NA	NA	NA	NA	NA	NA
ASV671	Ichthyosporia	NA	Ichthyosporea	Dermocystida	NA	NA	NA
ASV672	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita exitialis
ASV673	Metazoa	Arthropoda	Malacostraca	Amphipoda	NA	NA	NA
ASV674	Fungi	NA	NA	NA	NA	NA	NA
ASV675	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	NA	NA	NA
ASV676	Fungi	Ascomycota	Eurotiomycetes	Onygenales	NA	NA	NA
ASV677	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	NA
ASV678	Fungi	Ascomycota	NA	NA	NA	NA	NA
ASV679	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	NA	NA	NA
ASV680	Fungi	Ascomycota	Orbiliomycetes	Orbiliales	NA	NA	NA
ASV681	Fungi	Basidiomycota	Agaricomycetes	Hymenochaetales	NA	NA	NA
ASV682	Fungi	Basidiomycota	Agaricomycetes	Russulales	NA	NA	NA
ASV683	Fungi	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolaceae	Rhodotorula	Rhodotorula kratochvilovae
ASV684	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	NA
ASV685	Fungi	Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
ASV686	Alveolata	Apicomplexa	Coccidia	Eucoccidiorida	NA	NA	NA
ASV687	Fungi	Ascomycota	Sordariomycetes	Sordariales	Sordariaceae	NA	NA
ASV688	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Curvularia	Curvularia caricae-papayae
ASV689	Metazoa	Arthropoda	Insecta	Diptera	NA	NA	NA
ASV690	Fungi	Ascomycota	Lecanoromycetes	Peltigerales	NA	NA	NA
ASV691	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	NA	NA	NA
ASV692	Metazoa	Cnidaria	Hydrozoa	Hydroidolina	NA	NA	NA
ASV693	Alveolata	Ciliophora	Spirotrichea	Sporadotrichida	NA	NA	NA
ASV694	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Curvularia	Curvularia nicotiae
ASV695	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Tulostoma	NA
ASV696	Fungi	Ascomycota	Sordariomycetes	Hypocreales	NA	NA	NA
ASV697	Rhizaria	Cercozoa	NA	NA	NA	NA	NA
ASV698	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymosphaeriaceae	Deniquelata	Deniquelata barringtoniae
ASV699	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Coniosporium	Coniosporium apollinis
ASV700	Fungi	Ascomycota	Dothideomycetes	NA	NA	NA	NA
ASV701	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	NA	NA
ASV702	Fungi	Ascomycota	NA	NA	NA	NA	NA
ASV703	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Allophoma	Allophoma labilis
ASV704	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita exitialis
ASV705	Choanoflagellozoa	Choanoflagellata	NA	Choanoflagellida	NA	NA	NA
ASV706	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Talaromyces	Talaromyces verruculosus
ASV707	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	NA
ASV708	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita exitialis
ASV709	Metazoa	Arthropoda	Arachnida	Sarcoptiformes	NA	NA	NA
ASV710	Fungi	Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
ASV711	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymosphaeriaceae	Pseudopithomyces	Pseudopithomyces chartarum
ASV712	NA	NA	NA	NA	NA	NA	NA
ASV713	Fungi	Ascomycota	Dothideomycetes	NA	NA	NA	NA
ASV714	Fungi	NA	NA	NA	NA	NA	NA
ASV715	Fungi	Ascomycota	Pezizomycetes	NA	NA	NA	NA
ASV716	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Trematosphaeriaceae	Trematosphaeria	NA
ASV717	Fungi	Ascomycota	Dothideomycetes	Pleosporales	NA	Thyrostroma	NA
ASV718	Fungi	Basidiomycota	Agaricomycetes	Boletales	Coniophoraceae	Coniophora	NA
ASV719	Fungi	Ascomycota	Dothideomycetes	Pleosporales	NA	Thyrostroma	NA
ASV720	Rhizaria	Cercozoa	NA	NA	NA	NA	NA
ASV721	Viridiplantae	Chlorophyta	NA	NA	NA	NA	NA
ASV722	Alveolata	Apicomplexa	Coccidia	Eucoccidiorida	NA	NA	NA
ASV723	Ichthyosporia	NA	Ichthyosporea	Dermocystida	NA	NA	NA
ASV724	NA	NA	NA	NA	NA	NA	NA
ASV725	Metazoa	Craniata	Actinopterygii	Perciformes	NA	NA	NA
ASV726	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita exitialis
ASV727	Fungi	Ascomycota	Sordariomycetes	Xylariales	NA	NA	NA
ASV728	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Filobasidiaceae	Filobasidium	Filobasidium oeirense
ASV729	Metazoa	Arthropoda	Insecta	Hymenoptera	NA	NA	NA
ASV730	Fungi	Ascomycota	Lecanoromycetes	Lecanorales	NA	NA	NA
ASV731	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Chaetomium	Chaetomium globosum
ASV732	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	NA	NA	NA
ASV733	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita exitialis
ASV734	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita exitialis
ASV735	Fungi	Ascomycota	Eurotiomycetes	Verrucariales	Verrucariaceae	NA	NA
ASV736	Rhizaria	Cercozoa	NA	NA	NA	NA	NA
ASV737	Metazoa	Nematoda	Chromadorea	Rhabditida	NA	NA	NA
ASV738	Fungi	Ascomycota	Pezizomycetes	Pezizales	NA	NA	NA
ASV739	Metazoa	Cnidaria	Hydrozoa	Hydroidolina	NA	NA	NA
ASV740	Fungi	NA	NA	NA	NA	NA	NA
ASV741	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Trichomeriaceae	Knufia	Knufia marmoricola
ASV742	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Preussia	NA
ASV743	Fungi	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Actinomucor	Actinomucor elegans
ASV744	Alveolata	Ciliophora	Oligohymenophorea	Apostomatida	NA	NA	NA
ASV745	Viridiplantae	Marchantiophyta	Jungermanniopsida	Porellales	NA	NA	NA
ASV746	Viridiplantae	Anthophyta	Monocotyledonae	Poales	NA	NA	NA
ASV747	Fungi	Ascomycota	Sordariomycetes	Microascales	NA	NA	NA
ASV748	Alveolata	Ciliophora	Spirotrichea	Tintinnida	NA	NA	NA
ASV749	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita exitialis
ASV750	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	NA	NA	NA
ASV751	Fungi	NA	NA	NA	NA	NA	NA
ASV752	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae	Trichoderma	Trichoderma citrinoviride
ASV753	Ichthyosporia	NA	Ichthyosporea	Dermocystida	NA	NA	NA
ASV754	Ichthyosporia	NA	Ichthyosporea	Dermocystida	NA	NA	NA
ASV755	Fungi	Basidiomycota	NA	NA	NA	NA	NA
ASV756	Fungi	Basidiomycota	Pucciniomycetes	Pucciniales	NA	NA	NA
ASV757	Alveolata	Dinophyta	Dinophyceae	Prorocentrales	NA	NA	NA
ASV758	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	NA
ASV759	Rhizaria	Cercozoa	NA	Thaumatomonadida	NA	NA	NA
ASV760	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	NA
ASV761	Fungi	Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
ASV762	Fungi	NA	NA	NA	NA	NA	NA
ASV763	Fungi	Ascomycota	Dothideomycetes	Tubeufiales	NA	NA	NA
ASV764	Fungi	Ascomycota	Dothideomycetes	NA	NA	NA	NA
ASV765	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Tomentella	NA
ASV766	Metazoa	Arthropoda	Insecta	Diptera	NA	NA	NA
ASV767	Fungi	Ascomycota	Dothideomycetes	Capnodiales	NA	NA	NA
ASV768	Cryptista	Cryptophyta	NA	Pyrenomonadales	NA	NA	NA
ASV769	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	NA
ASV770	Fungi	Ascomycota	Dothideomycetes	NA	NA	NA	NA
ASV771	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Thielavia	Thielavia subthermophila
ASV772	Viridiplantae	Chlorophyta	Mamiellophyceae	Mamiellales	NA	NA	NA
ASV773	Metazoa	Arthropoda	Malacostraca	Decapoda	NA	NA	NA
ASV774	Fungi	NA	NA	NA	NA	NA	NA
ASV775	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Lycoperdaceae	Calvatia	Calvatia pachydermica
ASV776	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Neocamarosporium	Neocamarosporium goegapense
ASV777	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	NA	NA	NA
ASV778	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	NA	NA
ASV779	Stramenopila	Ochrophyta	Bacillariophyceae	Lithodesmiales	NA	NA	NA
ASV780	Fungi	Ascomycota	Dothideomycetes	Venturiales	NA	NA	NA
ASV781	Fungi	Basidiomycota	Agaricomycetes	Russulales	Peniophoraceae	Peniophora	NA
ASV782	Alveolata	Ciliophora	NA	NA	NA	NA	NA
ASV783	Fungi	Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
ASV784	Metazoa	Annelida	Clitellata	Enchytraeida	NA	NA	NA
ASV785	Fungi	Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
ASV786	Metazoa	Cnidaria	Hydrozoa	Hydroidolina	NA	NA	NA
ASV787	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymosphaeriaceae	Pseudopithomyces	NA
ASV788	Viridiplantae	Anthophyta	Eudicotyledonae	Sapindales	NA	NA	NA
ASV789	Viridiplantae	Chlorophyta	NA	NA	NA	NA	NA
ASV790	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Coniosporium	NA
ASV791	Fungi	Ascomycota	NA	NA	NA	NA	NA
ASV792	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	NA	NA
ASV793	Fungi	Ascomycota	Leotiomycetes	Thelebolales	NA	NA	NA
ASV794	Alveolata	Dinophyta	Dinophyceae	Prorocentrales	NA	NA	NA
ASV795	Fungi	Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
ASV796	Stramenopila	Ochrophyta	Bacillariophyceae	Lithodesmiales	NA	NA	NA
ASV797	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Melanocarpus	Melanocarpus tardus
ASV798	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	Alternaria chlamydosporigena
ASV799	Metazoa	Arthropoda	Insecta	Diptera	NA	NA	NA
ASV800	Fungi	NA	NA	NA	NA	NA	NA
ASV801	Fungi	NA	NA	NA	NA	NA	NA
ASV802	Metazoa	Porifera	Demospongiae	Verongida	NA	NA	NA
ASV803	Fungi	Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
ASV804	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymosphaeriaceae	Aporospora	NA
ASV805	Alveolata	Ciliophora	NA	NA	NA	NA	NA
ASV806	Fungi	Ascomycota	Xylonomycetes	Symbiotaphrinales	NA	NA	NA
ASV807	Viridiplantae	Chlorophyta	Mamiellophyceae	Mamiellales	NA	NA	NA
ASV808	Fungi	Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
ASV809	Alveolata	Apicomplexa	Coccidia	Eucoccidiorida	NA	NA	NA
ASV810	Stramenopila	Oomycota	Oomycetes	Peronosporales	NA	NA	NA
ASV811	Rhizaria	Cercozoa	NA	Thaumatomonadida	NA	NA	NA
ASV812	Rhodoplantae	Rhodophyta	Florideophyceae	Batrachospermales	NA	NA	NA
ASV813	Fungi	Basidiomycota	Tremellomycetes	NA	NA	NA	NA
ASV814	Fungi	NA	NA	NA	NA	NA	NA
ASV815	Fungi	Ascomycota	Arthoniomycetes	Lichenostigmatales	Phaeococcomycetaceae	Phaeococcomyces	NA
ASV816	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Phaeodothis	NA
ASV817	Viridiplantae	Chlorophyta	Chlorophyceae	Volvocales	NA	NA	NA
ASV818	Fungi	NA	NA	NA	NA	NA	NA
ASV819	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	NA	Diutina	Diutina catenulata
ASV820	Fungi	Ascomycota	Dothideomycetes	NA	NA	NA	NA
ASV821	Fungi	Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
ASV822	Stramenopila	Oomycota	Oomycetes	Peronosporales	NA	NA	NA
ASV823	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Coprinellus	NA
ASV824	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella alpina
ASV825	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	NA	NA
ASV826	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	NA	NA	NA
ASV827	Fungi	Ascomycota	Dothideomycetes	Botryosphaeriales	Aplosporellaceae	Aplosporella	NA
ASV828	Rhizaria	Cercozoa	NA	Thaumatomonadida	NA	NA	NA
ASV829	Fungi	Ascomycota	Sordariomycetes	Coniochaetales	Coniochaetaceae	Coniochaeta	NA
ASV830	Fungi	NA	NA	NA	NA	NA	NA
ASV831	Fungi	Ascomycota	NA	NA	NA	NA	NA
ASV832	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Chaetomium	NA
ASV833	Fungi	NA	NA	NA	NA	NA	NA
ASV834	Fungi	Ascomycota	Lecanoromycetes	Peltigerales	NA	NA	NA
ASV835	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Chaetosphaeronema	NA
ASV836	Fungi	Ascomycota	Lecanoromycetes	Trapeliales	NA	NA	NA
ASV837	Ichthyosporia	NA	Ichthyosporea	Dermocystida	NA	NA	NA
ASV838	Metazoa	Arthropoda	Malacostraca	Amphipoda	NA	NA	NA
ASV839	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Tomentella	NA
ASV840	Alveolata	Ciliophora	Spirotrichea	Sporadotrichida	NA	NA	NA
ASV841	Fungi	NA	NA	NA	NA	NA	NA
ASV842	Fungi	NA	NA	NA	NA	NA	NA
ASV843	Fungi	Basidiomycota	Agaricomycetes	Agaricales	NA	NA	NA
ASV844	Fungi	Ascomycota	Lecanoromycetes	Acarosporales	NA	NA	NA
ASV845	Viridiplantae	Chlorophyta	Mamiellophyceae	Mamiellales	NA	NA	NA
ASV846	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	NA	NA	NA
ASV847	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Melanommataceae	Petrakia	NA
ASV848	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Exophiala	Exophiala capensis
ASV849	Metazoa	Cnidaria	Hydrozoa	Hydroidolina	NA	NA	NA
ASV850	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Chaetomium	NA
ASV851	Stramenopila	Ochrophyta	Bacillariophyceae	Lithodesmiales	NA	NA	NA
ASV852	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium chrysogenum
ASV853	Fungi	Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
ASV854	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Comoclathris	NA
ASV855	Alveolata	Apicomplexa	Coccidia	Eucoccidiorida	NA	NA	NA
ASV856	Metazoa	Arthropoda	Insecta	Diptera	NA	NA	NA
ASV857	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pezizaceae	Peziza	Peziza ostracoderma
ASV858	Fungi	NA	NA	NA	NA	NA	NA
ASV859	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium chrysogenum
ASV860	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	NA	NA	NA
ASV861	Fungi	NA	NA	NA	NA	NA	NA
ASV862	Fungi	Rozellomycota	NA	NA	NA	NA	NA
ASV863	Fungi	NA	NA	NA	NA	NA	NA
ASV864	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	NA
ASV865	Ichthyosporia	NA	Ichthyosporea	Dermocystida	NA	NA	NA
ASV866	Fungi	NA	NA	NA	NA	NA	NA
ASV867	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Curvularia	Curvularia inaequalis
ASV868	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium brevicompactum
ASV869	Fungi	Mucoromycota	Mucoromycetes	Mucorales	NA	NA	NA
ASV870	Fungi	Ascomycota	Sordariomycetes	Hypocreales	NA	NA	NA
ASV871	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Chaetomium	NA
ASV872	Viridiplantae	Chlorophyta	Trebouxiophyceae	Microthamniales	NA	NA	NA
ASV873	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	NA
ASV874	Metazoa	Mollusca	Bivalvia	Veneroida	NA	NA	NA
ASV875	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Tulostoma	NA
ASV876	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Lepiota	NA
ASV877	Fungi	Ascomycota	Xylonomycetes	Symbiotaphrinales	NA	NA	NA
ASV878	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	NA	Sarcinomyces	Sarcinomyces crustaceus
ASV879	Fungi	Ascomycota	Leotiomycetes	Helotiales	NA	NA	NA
ASV880	Fungi	Ascomycota	Lecanoromycetes	Umbilicariales	NA	NA	NA
ASV881	Fungi	NA	NA	NA	NA	NA	NA
ASV882	Cryptista	Cryptophyta	NA	Pyrenomonadales	NA	NA	NA
ASV883	Alveolata	Apicomplexa	Coccidia	Eucoccidiorida	NA	NA	NA
ASV884	Fungi	Ascomycota	Pezizomycetes	NA	NA	NA	NA
ASV885	Fungi	Ascomycota	Lecanoromycetes	Lecanorales	NA	NA	NA
ASV886	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	NA	NA
ASV887	Alveolata	Ciliophora	NA	NA	NA	NA	NA
ASV888	Fungi	Ascomycota	Pezizomycetes	Pezizales	NA	NA	NA
ASV889	Fungi	Entomophthoromycota	Entomophthoromycetes	Entomophthorales	NA	NA	NA
ASV890	Viridiplantae	Chlorophyta	Trebouxiophyceae	NA	NA	NA	NA
ASV891	Fungi	Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
ASV892	Fungi	Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
ASV893	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymosphaeriaceae	Deniquelata	Deniquelata barringtoniae
ASV894	Fungi	Ascomycota	Sordariomycetes	Hypocreales	NA	NA	NA
ASV895	Fungi	Ascomycota	Pezizomycetes	Pezizales	NA	NA	NA
ASV896	Alveolata	Ciliophora	NA	NA	NA	NA	NA
ASV897	Viridiplantae	Chlorophyta	Mamiellophyceae	Mamiellales	NA	NA	NA
ASV898	Fungi	Ascomycota	NA	NA	NA	NA	NA
ASV899	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	NA	NA	NA
ASV900	Fungi	Ascomycota	Eurotiomycetes	Onygenales	NA	NA	NA
ASV901	Fungi	Basidiomycota	NA	NA	NA	NA	NA
ASV902	Rhizaria	Cercozoa	NA	NA	NA	NA	NA
ASV903	Fungi	Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
ASV904	Fungi	Ascomycota	Sordariomycetes	Sordariales	Sordariaceae	Gelasinospora	NA
ASV905	Fungi	Ascomycota	NA	NA	NA	NA	NA
ASV906	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Chaetomium	Chaetomium mareoticum
ASV907	Fungi	Ascomycota	Dothideomycetes	Strigulales	NA	NA	NA
ASV908	Rhizaria	Cercozoa	NA	Thaumatomonadida	NA	NA	NA
ASV909	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Preussia	Preussia pilosella
ASV910	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	NA	NA
ASV911	Fungi	Ascomycota	Sordariomycetes	Sordariales	NA	NA	NA
ASV912	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	NA	NA	NA
ASV913	Viridiplantae	Chlorophyta	Mamiellophyceae	Mamiellales	NA	NA	NA
ASV914	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Calophoma	Calophoma clematidina
ASV915	Rhizaria	Cercozoa	NA	Thaumatomonadida	NA	NA	NA
ASV916	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	NA	NA	NA
ASV917	Fungi	Ascomycota	Leotiomycetes	Helotiales	Hyaloscyphaceae	NA	NA
ASV918	Fungi	NA	NA	NA	NA	NA	NA
ASV919	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymosphaeriaceae	Spegazzinia	NA
ASV920	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Lophiostomataceae	NA	NA
ASV921	Fungi	Ascomycota	Lecanoromycetes	Peltigerales	NA	NA	NA
ASV922	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	NA	NA	NA
ASV923	Fungi	Ascomycota	Leotiomycetes	Helotiales	NA	NA	NA
ASV924	Fungi	NA	NA	NA	NA	NA	NA
ASV925	Fungi	Basidiomycota	Cystobasidiomycetes	Cystobasidiales	Cystobasidiaceae	Cystobasidium	Cystobasidium benthicum
ASV926	Fungi	Basidiomycota	NA	NA	NA	NA	NA
ASV927	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Trematosphaeriaceae	Trematosphaeria	NA
ASV928	Fungi	Ascomycota	NA	NA	NA	NA	NA
ASV929	Metazoa	Arthropoda	Arachnida	Trombidiformes	NA	NA	NA
ASV930	Metazoa	Arthropoda	Insecta	Diptera	NA	NA	NA
ASV931	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Preussia	Preussia longisporopsis
ASV932	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	NA	NA
ASV933	Metazoa	Mollusca	Gastropoda	Stylommatophora	NA	NA	NA
ASV934	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	NA
ASV935	Fungi	Ascomycota	Leotiomycetes	Erysiphales	NA	NA	NA
ASV936	Fungi	NA	NA	NA	NA	NA	NA
ASV937	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	NA
ASV938	Fungi	Basidiomycota	Agaricomycetes	Corticiales	Corticiaceae	NA	NA
ASV939	Fungi	Ascomycota	Lecanoromycetes	Peltigerales	NA	NA	NA
ASV940	Rhodoplantae	Rhodophyta	Florideophyceae	Gracilariales	NA	NA	NA
ASV941	Metazoa	Arthropoda	Arachnida	Sarcoptiformes	NA	NA	NA
ASV942	Fungi	Ascomycota	Sordariomycetes	Glomerellales	Plectosphaerellaceae	Verticillium	NA
ASV943	Fungi	Basidiobolomycota	Basidiobolomycetes	Basidiobolales	Basidiobolaceae	Basidiobolus	Basidiobolus ranarum
ASV944	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	NA	NA
ASV945	Fungi	Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
ASV946	Fungi	Ascomycota	Dothideomycetes	NA	NA	NA	NA
ASV947	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	NA	NA
ASV948	Rhizaria	Cercozoa	NA	Thaumatomonadida	NA	NA	NA
ASV949	Fungi	Ascomycota	Dothideomycetes	NA	NA	NA	NA
ASV950	Fungi	Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
ASV951	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita exitialis
ASV952	Viridiplantae	Chlorophyta	Mamiellophyceae	Mamiellales	NA	NA	NA
ASV953	NA	NA	NA	NA	NA	NA	NA
ASV954	Alveolata	Apicomplexa	Coccidia	Eucoccidiorida	NA	NA	NA
ASV955	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	Alternaria alternata
ASV956	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Amesia	Amesia nigricolor
ASV957	Fungi	Ascomycota	Dothideomycetes	Tubeufiales	NA	NA	NA
ASV958	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Chaetomium	NA
