	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV1491	Fungi	Ascomycota	Dothideomycetes	Botryosphaeriales	Botryosphaeriaceae	Lasiodiplodia	NA
ASV1492	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Tomentella	NA
ASV1493	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Tulostoma	NA
ASV1494	Fungi	Ascomycota	Dothideomycetes	Capnodiales	NA	NA	NA
ASV1495	Metazoa	Craniata	Actinopterygii	Siluriformes	NA	NA	NA
ASV1496	Alveolata	Apicomplexa	Coccidia	Eucoccidiorida	NA	NA	NA
ASV1497	Alveolata	Apicomplexa	Coccidia	Eucoccidiorida	NA	NA	NA
ASV1498	Fungi	Ascomycota	Xylonomycetes	Symbiotaphrinales	NA	NA	NA
ASV1499	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	Agaricus aridicola
ASV1500	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita exitialis
ASV1501	Fungi	Ascomycota	Leotiomycetes	Helotiales	Hyaloscyphaceae	NA	NA
ASV1502	Fungi	Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
ASV1503	Fungi	Ascomycota	Geoglossomycetes	Geoglossales	NA	NA	NA
ASV1504	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	NA	NA
ASV1505	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	NA	NA	NA
ASV1506	Protista	NA	NA	NA	NA	NA	NA
ASV1507	Fungi	NA	NA	NA	NA	NA	NA
ASV1508	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Tomentella	NA
ASV1509	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pezizaceae	Peziza	Peziza badia
ASV1510	Fungi	Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
ASV1511	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita exitialis
ASV1512	Fungi	Basidiomycota	Agaricomycetes	Agaricales	NA	NA	NA
ASV1513	Fungi	Ascomycota	Eurotiomycetes	Onygenales	NA	NA	NA
ASV1514	Alveolata	Apicomplexa	Coccidia	Eucoccidiorida	NA	NA	NA
ASV1515	Metazoa	Arthropoda	Malacostraca	Amphipoda	NA	NA	NA
ASV1516	Metazoa	Mollusca	Bivalvia	Ostreoida	NA	NA	NA
ASV1517	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymosphaeriaceae	Paracamarosporium	Paracamarosporium leucadendri
ASV1518	Fungi	NA	NA	NA	NA	NA	NA
ASV1519	Fungi	Calcarisporiellomycota	Calcarisporiellomycetes	Calcarisporiellales	Calcarisporiellaceae	Calcarisporiella	NA
ASV1520	Fungi	Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
ASV1521	Fungi	NA	NA	NA	NA	NA	NA
ASV1522	Fungi	Ascomycota	NA	NA	NA	NA	NA
ASV1523	Fungi	NA	NA	NA	NA	NA	NA
ASV1524	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita exitialis
ASV1525	Viridiplantae	Chlorophyta	Mamiellophyceae	Mamiellales	NA	NA	NA
ASV1526	Metazoa	Arthropoda	Arachnida	Sarcoptiformes	NA	NA	NA
ASV1527	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Sporormiella	Sporormiella affinis
ASV1528	Fungi	Rozellomycota	NA	NA	NA	NA	NA
ASV1529	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Podaxaceae	Podaxis	Podaxis pistillaris
ASV1530	Cryptista	Cryptophyta	NA	Pyrenomonadales	NA	NA	NA
ASV1531	Fungi	Ascomycota	Lecanoromycetes	Peltigerales	NA	NA	NA
ASV1532	Metazoa	Arthropoda	Insecta	Diptera	NA	NA	NA
ASV1533	Alveolata	Apicomplexa	Aconoidasida	NA	NA	NA	NA
ASV1534	Fungi	Ascomycota	Dothideomycetes	Capnodiales	NA	NA	NA
ASV1535	Fungi	Rozellomycota	NA	NA	NA	NA	NA
ASV1536	Stramenopila	Oomycota	Oomycetes	Pythiales	NA	NA	NA
ASV1537	Fungi	Rozellomycota	NA	NA	NA	NA	NA
ASV1538	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	NA
ASV1539	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Curvularia	Curvularia caricae-papayae
ASV1540	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Tulostoma	NA
ASV1541	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	NA	NA
ASV1542	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pyronemataceae	Trichophaeopsis	NA
ASV1543	NA	NA	NA	NA	NA	NA	NA
ASV1544	Fungi	Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
ASV1545	Fungi	NA	NA	NA	NA	NA	NA
ASV1546	Alveolata	Ciliophora	Spirotrichea	Sporadotrichida	NA	NA	NA
ASV1547	Alveolata	Apicomplexa	Coccidia	Eucoccidiorida	NA	NA	NA
ASV1548	Fungi	Ascomycota	Eurotiomycetes	Onygenales	NA	NA	NA
ASV1549	Fungi	Ascomycota	Dothideomycetes	Dothideales	Aureobasidiaceae	NA	NA
ASV1550	Fungi	Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
ASV1551	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	NA	NA
ASV1552	Protista	NA	NA	NA	NA	NA	NA
ASV1553	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Tulostoma	NA
ASV1554	Fungi	Ascomycota	Sordariomycetes	Xylariales	NA	Fantasmomyces	NA
ASV1555	Fungi	NA	NA	NA	NA	NA	NA
ASV1556	Fungi	Ascomycota	Leotiomycetes	Helotiales	NA	NA	NA
ASV1557	Fungi	Ascomycota	Eurotiomycetes	Verrucariales	Verrucariaceae	Placidium	Placidium umbrinum
ASV1558	Fungi	Basidiomycota	Pucciniomycetes	Pucciniales	NA	NA	NA
ASV1559	Viridiplantae	Chlorophyta	Trebouxiophyceae	Oocystales	NA	NA	NA
ASV1560	Alveolata	Dinophyta	Dinophyceae	Prorocentrales	NA	NA	NA
ASV1561	Viridiplantae	Marchantiophyta	Jungermanniopsida	Porellales	NA	NA	NA
ASV1562	Metazoa	Arthropoda	Insecta	Diptera	NA	NA	NA
ASV1563	Fungi	Ascomycota	Lecanoromycetes	Acarosporales	Acarosporaceae	Acarospora	NA
ASV1564	Fungi	Basidiomycota	Agaricomycetes	Sebacinales	Sebacinaceae	Sebacina	NA
ASV1565	Fungi	NA	NA	NA	NA	NA	NA
ASV1566	Fungi	Ascomycota	NA	NA	NA	NA	NA
ASV1567	Fungi	Ascomycota	NA	NA	NA	NA	NA
ASV1568	Fungi	Ascomycota	Dothideomycetes	Venturiales	Venturiaceae	NA	NA
ASV1569	Fungi	NA	NA	NA	NA	NA	NA
ASV1570	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Onygenaceae	Mallochia	Mallochia reticulata
ASV1571	Viridiplantae	Chlorophyta	NA	NA	NA	NA	NA
ASV1572	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Teratosphaeriaceae	Friedmanniomyces	Friedmanniomyces endolithicus
ASV1573	Fungi	Ascomycota	Dothideomycetes	Capnodiales	NA	NA	NA
ASV1574	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Chaetomium	NA
ASV1575	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Coniothyriaceae	Camarosporium	Camarosporium brabeji
ASV1576	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	NA	NA
ASV1577	Fungi	Ascomycota	Lecanoromycetes	Acarosporales	Acarosporaceae	NA	NA
ASV1578	Fungi	Ascomycota	Lecanoromycetes	Lecanorales	NA	NA	NA
ASV1579	Fungi	Basidiomycota	Agaricomycetes	Agaricales	NA	NA	NA
ASV1580	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymosphaeriaceae	Deniquelata	Deniquelata barringtoniae
ASV1581	Alveolata	Ciliophora	NA	NA	NA	NA	NA
ASV1582	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Podaxaceae	Podaxis	Podaxis pistillaris
ASV1583	Fungi	Ascomycota	Dothideomycetes	NA	NA	NA	NA
ASV1584	Fungi	Ascomycota	Dothideomycetes	Dothideales	NA	NA	NA
ASV1585	Metazoa	Nematoda	Chromadorea	Spirurida	NA	NA	NA
ASV1586	Fungi	Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
ASV1587	Fungi	Ascomycota	Dothideomycetes	Capnodiales	NA	NA	NA
ASV1588	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	Alternaria dauci
ASV1589	Fungi	Ascomycota	Lecanoromycetes	Acarosporales	NA	NA	NA
ASV1590	Fungi	Rozellomycota	NA	NA	NA	NA	NA
ASV1591	Fungi	Basidiomycota	Agaricomycetes	Boletales	NA	NA	NA
ASV1592	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Tremellaceae	Cryptococcus	NA
ASV1593	Fungi	Basidiomycota	Agaricomycetes	Trechisporales	Hydnodontaceae	Trechispora	NA
ASV1594	Fungi	Ascomycota	Lecanoromycetes	Trapeliales	NA	NA	NA
ASV1595	Fungi	Ascomycota	Sordariomycetes	Microascales	Ceratocystidaceae	Ceratocystis	Ceratocystis minor
ASV1596	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Cladophialophora	NA
ASV1597	Fungi	Ascomycota	Leotiomycetes	Helotiales	NA	NA	NA
ASV1598	Fungi	Ascomycota	Dothideomycetes	NA	NA	NA	NA
ASV1599	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Trichomeriaceae	Knufia	NA
ASV1600	Fungi	Ascomycota	Sordariomycetes	Sordariales	NA	NA	NA
ASV1601	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Tomentella	Tomentella sublilacina
ASV1602	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Phaeodothis	NA
ASV1603	Fungi	Ascomycota	Leotiomycetes	Erysiphales	Erysiphaceae	Podosphaera	NA
ASV1604	Fungi	Ascomycota	NA	NA	NA	NA	NA
ASV1605	Rhizaria	Cercozoa	NA	Thaumatomonadida	NA	NA	NA
ASV1606	Fungi	Ascomycota	Sordariomycetes	Hypocreales	NA	NA	NA
ASV1607	Metazoa	Platyhelminthes	Trematoda	Strigeida	NA	NA	NA
ASV1608	Fungi	Ascomycota	Sordariomycetes	Hypocreales	NA	NA	NA
ASV1609	Fungi	Chytridiomycota	NA	NA	NA	NA	NA
ASV1610	Fungi	Basidiomycota	Agaricomycetes	Atheliales	Atheliaceae	Piloderma	NA
ASV1611	Fungi	Ascomycota	Lecanoromycetes	Umbilicariales	NA	NA	NA
ASV1612	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	NA
ASV1613	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Filobasidiaceae	Filobasidium	Filobasidium oeirense
ASV1614	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Onygenaceae	Mallochia	Mallochia reticulata
ASV1615	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pyronemataceae	Tricharina	Tricharina praecox
ASV1616	Metazoa	Arthropoda	Insecta	Diptera	NA	NA	NA
ASV1617	Fungi	Ascomycota	Dothideomycetes	Capnodiales	NA	NA	NA
ASV1618	Viridiplantae	Chlorophyta	Mamiellophyceae	Mamiellales	NA	NA	NA
ASV1619	Fungi	Basidiomycota	Agaricomycetes	Auriculariales	Exidiaceae	Basidiodendron	NA
ASV1620	Fungi	Basidiobolomycota	Basidiobolomycetes	Basidiobolales	Basidiobolaceae	Basidiobolus	Basidiobolus ranarum
ASV1621	Fungi	NA	NA	NA	NA	NA	NA
ASV1622	Viridiplantae	Chlorophyta	NA	NA	NA	NA	NA
ASV1623	Fungi	Basidiomycota	Tremellomycetes	Tremellales	NA	NA	NA
ASV1624	Metazoa	Arthropoda	Malacostraca	Decapoda	NA	NA	NA
ASV1625	Ichthyosporia	NA	Ichthyosporea	Dermocystida	NA	NA	NA
ASV1626	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Meliniomyces	NA
ASV1627	Fungi	Ascomycota	Dothideomycetes	Tubeufiales	NA	NA	NA
ASV1628	Fungi	NA	NA	NA	NA	NA	NA
ASV1629	Fungi	Basidiomycota	Agaricomycetes	Auriculariales	Exidiaceae	Basidiodendron	Basidiodendron caesiocinereum
