	Feature_ID	Kingdom	Phylum	Class	Order	Family	Genus	Species	Confidence
ASV1381	ASV1381	Bacteria	Actinobacteria	Rubrobacteria	Rubrobacterales	Rubrobacteriaceae	Rubrobacter	uncultured Rubrobacter sp.	0.922241124
ASV1382	ASV1382	Bacteria	Cyanobacteria	Oxyphotobacteria	Nostocales	Nostocaceae	Nostoc PCC-73102	NA	0.948993507
ASV1383	ASV1383	Bacteria	Planctomycetes	Planctomycetacia	Isosphaerales	Isosphaeraceae	uncultured	NA	0.993353512
ASV1384	ASV1384	Bacteria	Cyanobacteria	Oxyphotobacteria	Nostocales	Nostocaceae	uncultured	uncultured cyanobacterium	0.838084664
ASV1385	ASV1385	Bacteria	Actinobacteria	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Conexibacter	metagenome	0.718109997
ASV1386	ASV1386	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Microvirga	NA	0.970966899
ASV1387	ASV1387	Bacteria	Proteobacteria	Gammaproteobacteria	Steroidobacterales	Steroidobacteraceae	Steroidobacter	NA	0.948409524
ASV1388	ASV1388	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Craurococcus	uncultured proteobacterium	0.733329624
ASV1389	ASV1389	Bacteria	Actinobacteria	Thermoleophilia	Gaiellales	uncultured	uncultured bacterium	uncultured bacterium	0.987757056
ASV1390	ASV1390	Bacteria	Chloroflexi	Chloroflexia	Kallotenuales	AKIW781	uncultured bacterium	uncultured bacterium	0.992687377
ASV1391	ASV1391	Bacteria	Bacteroidetes	Bacteroidia	Cytophagales	Cytophagaceae	Rhodocytophaga	uncultured Rhodocytophaga sp.	0.941633294
ASV1392	ASV1392	Bacteria	Actinobacteria	Thermoleophilia	Solirubrobacterales	67-14	uncultured actinobacterium	uncultured actinobacterium	0.908521096
ASV1393	ASV1393	Bacteria	Bacteroidetes	Bacteroidia	Cytophagales	Hymenobacteraceae	Nibribacter	uncultured bacterium	0.999830439
ASV1394	ASV1394	Bacteria	Proteobacteria	Alphaproteobacteria	Tistrellales	Geminicoccaceae	Geminicoccus	uncultured bacterium	0.973428533
ASV1395	ASV1395	Bacteria	Chloroflexi	Chloroflexia	Kallotenuales	AKIW781	uncultured Chloroflexi bacterium	uncultured Chloroflexi bacterium	0.99623388
ASV1396	ASV1396	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	NA	0.964530627
